session_date,option_type,otm_offset_points,selection_status,ticker,underlying_ticker,expiration_date,strike_price,target_strike,spot_for_selection,strike_distance_from_spot,exercise_style,shares_per_contract,primary_exchange,reference_query_underlying,reference_query_mode
2026-02-11,call,25,selected,O:SPXW260211C06975000,SPX,2026-02-11,6975,6974.9400000000005,6949.9400000000005,25.05999999999949,european,100,XCBO,SPX,as_of
2026-02-11,call,30,selected,O:SPXW260211C06980000,SPX,2026-02-11,6980,6979.9400000000005,6949.9400000000005,30.05999999999949,european,100,XCBO,SPX,as_of
2026-02-11,put,0,selected,O:SPXW260211P06950000,SPX,2026-02-11,6950,6949.9400000000005,6949.9400000000005,0.05999999999949068,european,100,XCBO,SPX,as_of
2026-02-11,put,5,selected,O:SPXW260211P06945000,SPX,2026-02-11,6945,6944.9400000000005,6949.9400000000005,-4.940000000000509,european,100,XCBO,SPX,as_of
2026-02-11,put,10,selected,O:SPXW260211P06940000,SPX,2026-02-11,6940,6939.9400000000005,6949.9400000000005,-9.94000000000051,european,100,XCBO,SPX,as_of
2026-02-11,put,15,selected,O:SPXW260211P06935000,SPX,2026-02-11,6935,6934.9400000000005,6949.9400000000005,-14.94000000000051,european,100,XCBO,SPX,as_of
2026-02-11,put,20,selected,O:SPXW260211P06930000,SPX,2026-02-11,6930,6929.9400000000005,6949.9400000000005,-19.94000000000051,european,100,XCBO,SPX,as_of
2026-02-11,put,25,selected,O:SPXW260211P06925000,SPX,2026-02-11,6925,6924.9400000000005,6949.9400000000005,-24.94000000000051,european,100,XCBO,SPX,as_of
2026-02-11,put,30,selected,O:SPXW260211P06920000,SPX,2026-02-11,6920,6919.9400000000005,6949.9400000000005,-29.94000000000051,european,100,XCBO,SPX,as_of
2026-02-17,call,0,selected,O:SPXW260217C06855000,SPX,2026-02-17,6855,6853.610000000001,6853.610000000001,1.389999999999418,european,100,XCBO,SPX,as_of
2026-02-17,call,5,selected,O:SPXW260217C06860000,SPX,2026-02-17,6860,6858.610000000001,6853.610000000001,6.389999999999418,european,100,XCBO,SPX,as_of
2026-02-17,call,10,selected,O:SPXW260217C06865000,SPX,2026-02-17,6865,6863.610000000001,6853.610000000001,11.389999999999418,european,100,XCBO,SPX,as_of
2026-02-17,call,15,selected,O:SPXW260217C06870000,SPX,2026-02-17,6870,6868.610000000001,6853.610000000001,16.389999999999418,european,100,XCBO,SPX,as_of
2026-02-17,call,20,selected,O:SPXW260217C06875000,SPX,2026-02-17,6875,6873.610000000001,6853.610000000001,21.389999999999418,european,100,XCBO,SPX,as_of
2026-02-17,call,25,selected,O:SPXW260217C06880000,SPX,2026-02-17,6880,6878.610000000001,6853.610000000001,26.389999999999418,european,100,XCBO,SPX,as_of
2026-02-17,call,30,selected,O:SPXW260217C06885000,SPX,2026-02-17,6885,6883.610000000001,6853.610000000001,31.389999999999418,european,100,XCBO,SPX,as_of
2026-02-17,put,0,selected,O:SPXW260217P06855000,SPX,2026-02-17,6855,6853.610000000001,6853.610000000001,1.389999999999418,european,100,XCBO,SPX,as_of
2026-02-17,put,5,selected,O:SPXW260217P06850000,SPX,2026-02-17,6850,6848.610000000001,6853.610000000001,-3.610000000000582,european,100,XCBO,SPX,as_of
2026-02-17,put,10,selected,O:SPXW260217P06845000,SPX,2026-02-17,6845,6843.610000000001,6853.610000000001,-8.610000000000582,european,100,XCBO,SPX,as_of
2026-02-17,put,15,selected,O:SPXW260217P06840000,SPX,2026-02-17,6840,6838.610000000001,6853.610000000001,-13.610000000000582,european,100,XCBO,SPX,as_of
2026-02-17,put,20,selected,O:SPXW260217P06835000,SPX,2026-02-17,6835,6833.610000000001,6853.610000000001,-18.610000000000582,european,100,XCBO,SPX,as_of
2026-02-17,put,25,selected,O:SPXW260217P06830000,SPX,2026-02-17,6830,6828.610000000001,6853.610000000001,-23.610000000000582,european,100,XCBO,SPX,as_of
2026-02-17,put,30,selected,O:SPXW260217P06825000,SPX,2026-02-17,6825,6823.610000000001,6853.610000000001,-28.610000000000582,european,100,XCBO,SPX,as_of
2026-03-03,call,0,selected,O:SPXW260303C06825000,SPX,2026-03-03,6825,6826.92,6826.92,-1.9200000000000728,european,100,XCBO,SPX,as_of
