session_date,rows,first_time_et,last_time_et,exact_spx_1459,exact_spx_1559,missing_spx_final_120m,missing_vix_final_120m,max_vix_staleness_final_120m,vix_1359_valid,vix_1429_valid,vix_1444_valid,vix_1459_valid,strict_eligible,relaxed_eligible
2025-08-13,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-08-14,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-08-15,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2025-08-18,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-08-19,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-08-20,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-08-21,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-08-22,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-08-25,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-08-26,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-08-27,390,09:30:00,15:59:00,True,True,0,2,120.0,True,True,True,True,False,True
2025-08-28,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2025-08-29,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-09-02,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-09-03,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-09-04,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2025-09-05,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-09-08,390,09:30:00,15:59:00,True,True,0,2,120.0,True,True,True,True,False,True
2025-09-09,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-09-10,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-09-11,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-09-12,390,09:30:00,15:59:00,True,True,0,2,120.0,True,True,True,True,False,True
2025-09-15,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-09-16,390,09:30:00,15:59:00,True,True,0,2,120.0,True,True,True,True,False,True
2025-09-17,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-09-18,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-09-19,390,09:30:00,15:59:00,True,True,0,3,120.0,True,True,True,True,False,True
2025-09-22,390,09:30:00,15:59:00,True,True,0,2,120.0,True,True,True,True,False,True
2025-09-23,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
