research_question,dataset_variant,feature_set,model,outer_fold,feature,feature_group,importance_mean,importance_std_within_fold
RQ3 Large Movement,Strict,Full,RBF SVC,3,vix_ret_last_15m,VIX,0.003910797246541598,0.005921210909574588
RQ3 Large Movement,Strict,Full,RBF SVC,3,vix_ret_last_30m,VIX,-0.0022690247136054054,0.005543267355327008
RQ3 Large Movement,Strict,Full,RBF SVC,3,vix_ret_last_60m,VIX,-0.0006945976051616065,0.002577283952350173
RQ3 Large Movement,Strict,Full,RBF SVC,3,realized_vol_30m,Realised volatility,-0.0009974393965839767,0.011689286244581858
RQ3 Large Movement,Strict,Full,RBF SVC,3,realized_vol_60m,Realised volatility,0.0005426305250691155,0.009811293301027577
RQ3 Large Movement,Strict,Full,RBF SVC,3,realized_vol_120m,Realised volatility,-0.00043149532394325953,0.007695849833373161
RQ3 Large Movement,Strict,Full,RBF SVC,3,rv_open_to_1500,Realised volatility,0.002055464380278554,0.011358433888993671
RQ3 Large Movement,Strict,Full,RBF SVC,3,spy_volume_last_30m,SPY volume,-0.0025595715211094994,0.018430214307775743
RQ3 Large Movement,Strict,Full,RBF SVC,3,spy_volume_last_60m,SPY volume,-0.00515527671621796,0.00897510500122067
RQ3 Large Movement,Strict,Full,RBF SVC,3,spy_cum_volume_to_1500,SPY volume,-0.004263477697967849,0.004738045624673587
RQ3 Large Movement,Strict,Full,RBF SVC,3,spy_volume_accel_60m_vs_avg,SPY volume,-0.0005632633329562653,0.005429012982083464
RQ3 Large Movement,Strict,Full,RBF SVC,3,spy_dist_from_vwap_pct,Price position,0.0009447314331968104,0.0030807525275215104
RQ3 Large Movement,Strict,Full,RBF SVC,3,position_in_day_range,Price position,0.0029903527165648426,0.0025287926793121445
RQ3 Large Movement,Strict,Full,RBF SVC,3,dist_from_day_high_pct,Price position,0.008495346128812375,0.008536076211461218
RQ3 Large Movement,Strict,Full,RBF SVC,3,dist_from_day_low_pct,Price position,-0.002763885692703039,0.007971362637947671
RQ3 Large Movement,Strict,Full,RBF SVC,3,atr_pct_open_to_1500,True range,0.008973413835173328,0.01775936550047501
