dataset,ticker,session_date,rows,file_path,status,message
stock_minute_1,SPY,2023-04-24,783,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-24\data.parquet,ok,
stock_minute_1,SPY,2023-04-25,880,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-25\data.parquet,ok,
stock_minute_1,SPY,2023-04-26,868,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-26\data.parquet,ok,
stock_minute_1,SPY,2023-04-27,855,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-27\data.parquet,ok,
stock_minute_1,SPY,2023-04-28,827,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-28\data.parquet,ok,
stock_minute_1,SPY,2023-05-01,812,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-01\data.parquet,ok,
stock_minute_1,SPY,2023-05-02,817,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-02\data.parquet,ok,
stock_minute_1,SPY,2023-05-03,849,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-03\data.parquet,ok,
stock_minute_1,SPY,2023-05-04,876,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-04\data.parquet,ok,
stock_minute_1,SPY,2023-05-05,788,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-05\data.parquet,ok,
stock_minute_1,SPY,2023-05-08,760,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-08\data.parquet,ok,
